Pulsar,ObservationID,ATNF Period (s),ATNF DM,Bextprof DM,Bestprof sigma,Bestprof location,Plot location,Archive locaion,Flux Density (mJy),Flux Density Uncertainty (mJy),SN,SN Uncertainty,Predicted SN,Predicted SN Uncertainty,Searched Bool,Search offset (deg),Search Bestprof location,Search Bestprof sigma,Search SN,Search SN Uncertainty
J0525+1115,1259685792,0.3544375945137003,79.418,79.377,10.3,/astro/mwavcs/vcs/1259685792/dpp/1259685792_J0525+1115/pf_1259685792_J0525+1115_05:25:56.44_+11:15:19.08_b512_354.44ms_Cand.pfd.bestprof,/astro/mwavcs/vcs/1259685792/dpp/1259685792_J0525+1115/pf_1259685792_J0525+1115_05:25:56.44_+11:15:19.08_b1024_354.44ms_Cand.pfd.png,/astro/mwavcs/vcs/1259685792/dpp/1259685792_J0525+1115/1259685792_J0525+1115_archive.ar,43.658,5.543,8.738819704433356,0.8738819704433355,,,,,,,,
J0528+2200,1259685792,3.7455392503014053,50.8695,50.870,61.2,/astro/mwavcs/vcs/1259685792/dpp/1259685792_J0528+2200/pf_1259685792_J0528+2200_05:28:52.26_+22:00:04.00_b512_3744.90ms_Cand.pfd.bestprof,/astro/mwavcs/vcs/1259685792/dpp/1259685792_J0528+2200/pf_1259685792_J0528+2200_05:28:52.26_+22:00:04.00_b1024_3744.90ms_Cand.pfd.png,/astro/mwavcs/vcs/1259685792/dpp/1259685792_J0528+2200/1259685792_J0528+2200_archive.ar,38.332,6.916,31.61959267596163,3.161959267596163,,,,,,,,
J0534+2200,1259685792,0.033392412302258895,56.77118,56.264,8.1,/astro/mwavcs/vcs/1259685792/dpp/1259685792_J0534+2200/pf_1259685792_J0534+2200_05:34:31.97_+22:00:52.06_b100_33.39ms_Cand.pfd.bestprof,/astro/mwavcs/vcs/1259685792/dpp/1259685792_J0534+2200/pf_1259685792_J0534+2200_05:34:31.97_+22:00:52.06_b100_33.39ms_Cand.pfd.png,,35.041,6.537,6.814316695103819,1.6061498480868712,,,,,,,,
J0600-5756,1257617424,2.261364513,30.0,30.000,19.7,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1257617424/1257617424_J0600-5756.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1257617424/1257617424_J0600-5756.prepfold.ps,/astro/mwavcs/vcs/1257617424/dpp/1257617424_J0600-5756/1257617424_J0600-5756_archive.ar,26.8,2.879,8.620086325725504,1.2190642990667868,,,,,,,,
J0601-0527,1259427304,0.39596916954318157,80.538,80.538,20.6,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1259427304/1259427304_J0601-0527.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1259427304/1259427304_J0601-0527.prepfold.ps,,71.944,11.495,19.655889631343552,4.012241669771188,,,,,,,,
J0614+2229,1259685792,0.33495996611057016,96.91,96.871,12.4,/astro/mwavcs/vcs/1259685792/dpp/1259685792_J0614+2229/pf_1259685792_J0614+2229_06:14:17.00_+22:29:56.84_b256_335.02ms_Cand.pfd.bestprof,/astro/mwavcs/vcs/1259685792/dpp/1259685792_J0614+2229/pf_1259685792_J0614+2229_06:14:17.00_+22:29:56.84_b1024_335.02ms_Cand.pfd.png,/astro/mwavcs/vcs/1259685792/dpp/1259685792_J0614+2229/1259685792_J0614+2229_archive.ar,32.743,5.693,9.743130468069632,1.3778867247914597,,,,,,,,
J0624-0424,1260638120,1.0390764758509907,70.835,70.835,18.3,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1260638120/1260638120_J0624-0424.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1260638120/1260638120_J0624-0424.prepfold.ps,,25.544,7.999,13.360598734501671,2.7272207964669795,,,,,,,,
J0630-2834,1258221008,1.2444185961512455,34.425,34.425,402.8,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1258221008/1258221008_J0630-2834.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1258221008/1258221008_J0630-2834.prepfold.ps,,730.552,47.168,70.65258248443197,4.971098356490077,,,,,,,,
J0630-2834,1261241272,1.2444185961512455,34.425,34.425,864.0,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1261241272/1261241272_J0630-2834.bestprof,/astro/mwavcs/pulsar_search/SMART_quick_look_detection/1261241272/1261241272_J0630-2834.prepfold.ps,/astro/mwavcs/vcs/1261241272/dpp/1261241272_J0630-2834/1261241272_J0630-2834_archive.ar,1353.218,91.426,126.2871467872214,8.885532641048295,,,,,,,,
J0630-2834,1265983624,1.2444185961512455,34.425,34.357,61.9,/astro/mwavcs/vcs/1265983624/dpp/1265983624_J0630-2834/pf_1265983624_J0630-2834_06:30:49.40_-28:34:42.77_b256_1244.56ms_Cand.pfd.bestprof,/astro/mwavcs/vcs/1265983624/dpp/1265983624_J0630-2834/pf_1265983624_J0630-2834_06:30:49.40_-28:34:42.77_b1024_1244.56ms_Cand.pfd.png,/astro/mwavcs/vcs/1265983624/dpp/1265983624_J0630-2834/1265983624_J0630-2834_archive.ar,175.304,24.841,23.0193161847662,3.255422914505085,,,,,,,,
