Pulsar,ObservationID,ATNF Period (s),ATNF DM,Offset (degrees),Flux Density (mJy),Flux Density Uncertainty (mJy),Flux Density Scintilation Uncertainty (mJy),Estimated Flux Density (mJy),Estimated Flux Density Uncertainty (mJy)
J1311-1228,1301847296,0.4475177112318076,36.214,16.385786531602427,58.25299999999999,17.512817191988272,29.929410417492434,20.86256275876361,5.358239021062122
J1312-5402,1267459328,0.7281543942054414,133.0,15.750566030241066,25.864,6.06,8.944976648211028,225.66476721496127,12.189419373998366
J1313+0931,1301847296,0.84893275073,12.040623,11.083436106149668,32.793000000000006,12.170256365418108,20.51953284707268,14.598007125935341,2.699410268769363
J1320-5359,1301412552,0.2797376832821657,97.1,15.361138448100517,50.412000000000006,11.200106517350628,17.318717732226258,25.517994752457945,41.061160307195664
J1328-4357,1301412552,0.53269880337,42.0,9.742963865025136,54.906000000000006,9.26,25.733984905818488,81.97029381371402,73.39591472274557
J1332-3032,1301674968,0.6504344906472496,15.1,4.737777032328592,50.82899999999999,8.517999999999999,36.94509931909524,180.86510385917038,145.58656045221076
J1335-3642,1301412552,0.399192,41.82,11.56916539646507,48.87,8.887,23.184752725959108,33.116584455497794,12.546522227031998
J1340-6456,1301240224,0.37862206628,76.99,8.895587756770906,23.612,6.5489999999999995,10.158948088856876,46.170218837525866,57.67943366770619
J1355-5153,1302106648,0.6443045081669496,112.1,3.0461023285005115,115.42899999999999,20.620748386030996,35.10991601362533,287.0616914934682,58.05098827801248
J1418-3921,1302106648,1.0968060034,60.49,15.907223353656022,50.32125,21.414269915175723,22.69196446986676,67.18192891151753,19.591375829562935
J1430-6623,1302106648,0.7854433453623382,65.102,12.090105637803216,78.2125,17.450325383785827,32.89747213170516,256.70694179349954,41.61080092656387
J1440-6344,1302106648,0.4596067239005889,124.2,10.272171200511146,60.005,12.339,20.018492295603654,294.02474764613373,81.64899442680087
J1453-6413,1302106648,0.17948680442303885,71.248,11.541140553919396,589.86,63.857,211.09976224324936,1720.2250364141807,70.02171555736483
J1455-3330,1302282040,0.007987204806683728,13.569773000000001,6.909144455729439,58.035,14.42,45.50545341904364,38.956704750742155,16.997840432590174
J1456-6843,1302106648,0.2633769071818169,8.613,15.280139258188841,334.51,40.872645975028334,208.9820632355586,966.6044038798863,71.2759710585283
J1507-4352,1302282040,0.286758499837462,48.7,4.772589588457792,124.45200000000001,15.705,53.13905530578932,651.0949044175688,74.74299888022668
J1510-4422,1302282040,0.9438712975,84.0,5.5379068112308465,50.992,12.520999999999999,20.394793485124662,,
J1527-3931,1302282040,2.4176053943659372,48.8,7.271004649665932,30.698,12.693,17.821658706335068,,
J1534-5334,1302282040,1.3688822425450322,24.82,15.169326599217172,113.434,23.125726302107793,47.888129638793046,421.84546606769163,144.28909327919797
J1536-4948,1302282040,0.0030799140584053327,38.00125,12.469074892967537,13.263,12.202,13.632476256684482,,
J1543+0929,1302540536,0.7484484162291084,34.9758,15.800860575749311,426.157,27.803,204.99061825702958,363.71323075038043,37.69618430349773
J1543-0620,1302712864,0.7090640697858092,18.3,14.60390994640657,269.464,34.856,177.57589988378166,82.20383903406136,41.05904427630334
J2048-1616,1222435400,1.9615723036126127,11.456,17.61990722320993,69.158,9.943999999999999,56.573748342205114,77.03325111105579,12.67522552365522
J2108-3429,1222435400,1.4231018383,30.22,11.703662242493287,12.629000000000001,5.178999999999999,8.269299357553118,5.926784668132001,2.404028060409354
J2145-0750,1222697776,0.016052423921072694,9.00425,17.677778413152332,418.5105,141.0796901648143,361.5687440224824,158.90461570957063,3.197625035011003
J2155-3118,1222435400,1.0300021120395602,14.85,4.690945740763731,222.81799999999998,28.221,161.32117068662657,69.7947057242791,18.90403392672284
J2222-0137,1221832280,0.03281785906437885,3.2826,8.581178297898804,31.015,6.7410000000000005,45.44477527485827,6.9086034305756066,3.3194052921880908
J2234+2114,1223042480,1.35874531269,35.08,5.513905994505252,8.917,7.312,8.454246894211344,14.209516339734138,3.7592509847470414
J2241-5236,1224252736,0.002186699772554845,11.40964,11.98697117897501,274.38433333333336,44.85829674653285,204.73781361228865,155.59571986595793,13.003194723298027
J2248-0101,1221832280,0.4772331191229628,29.05,14.794760297864125,23.054000000000002,11.177,16.390653788017048,16.978621110144257,5.315619139134634
J2317+2149,1223042480,1.4446531023167095,20.86959,6.23364053237122,51.706,6.699,32.11676772514196,35.51985091607976,6.811925203553195
J2324-6054,1227009976,2.347488363125044,14.0,11.797567910271015,11.610999999999999,4.088,9.440317736361974,21.750417433044348,14.498288582841633
